"gbd_condition","ontology_id","channels","channel_details"
"Non-melanoma skin cancer (squamous-cell carcinoma)","MONDO:0005105","lexical","search='Non-melanoma skin cancer (squamous-cell carcinoma)' label='melanoma'"
"Non-rheumatic calcific aortic valve disease","MONDO:0000001","lexical","search='Non-rheumatic calcific aortic valve disease' label='disease'"
"Non-rheumatic degenerative mitral valve disease","MONDO:0000001","lexical","search='Non-rheumatic degenerative mitral valve disease' label='disease'"
"Non-rheumatic valvular heart disease","MONDO:0000001","lexical","search='Non-rheumatic valvular heart disease' label='disease'"
"Nonalcoholic fatty liver disease including cirrhosis","MONDO:0000001","lexical","search='Nonalcoholic fatty liver disease including cirrhosis' label='disease'"
"Nonalcoholic fatty liver disease including cirrhosis","MONDO:0004790","lexical","search='Nonalcoholic fatty liver disease including cirrhosis' label='fatty liver disease'"
"Opioid use disorders","EFO:0010702","legacy_second_part|lexical","search='Opioid use disorders' label='opioid use disorder' ;; source_col=MAPPED_TRAIT_URI...2 raw=EFO:0010702"
"Orofacial clefts","HP:0000202","legacy_second_part|lexical","search='Orofacial clefts' label='Orofacial cleft' ;; source_col=MAPPED_TRAIT_URI...2 raw=HP:0000202"
"Orofacial clefts","MONDO:0000358","legacy_second_part|lexical","search='Orofacial clefts' label='orofacial cleft' ;; source_col=MAPPED_TRAIT_URI...4 raw=MONDO:0000358"
"Osteoarthritis","EFO:0005890","lexical","search='Osteoarthritis' label='osteoarthritis biomarker measurement'"
"Osteoarthritis","EFO:0007942","lexical","search='Osteoarthritis' label='hip osteoarthritis symptom severity measurement'"
"Osteoarthritis","MONDO:0005178","legacy_first_part|lexical","search='Osteoarthritis' label='osteoarthritis' ;; source_col=EFO 1 raw=MONDO:0005178"
"Osteoarthritis","MONDO:0005416","lexical","search='Osteoarthritis' label='osteoarthritis, knee'"
"Osteoarthritis","MONDO:0006629","lexical","search='Osteoarthritis' label='osteoarthritis, hip'"
"Osteoarthritis","MONDO:0006630","lexical","search='Osteoarthritis' label='osteoarthritis, spine'"
"Osteoarthritis","MONDO:0006632","lexical","search='Osteoarthritis' label='osteoarthritis, hand'"
"Osteoarthritis","OBA:2001008","lexical","search='Osteoarthritis' label='age of onset of osteoarthritis'"
"Osteoarthritis hand","MONDO:0005178","lexical","search='Osteoarthritis hand' label='osteoarthritis'"
"Osteoarthritis hand","MONDO:0006632","legacy_first_part|lexical","search='Osteoarthritis hand' label='osteoarthritis, hand' ;; source_col=EFO 2 raw=MONDO:0006632"
"Osteoarthritis hip","MONDO:0005178","lexical","search='Osteoarthritis hip' label='osteoarthritis'"
"Osteoarthritis hip","MONDO:0006629","legacy_first_part|lexical","search='Osteoarthritis hip' label='osteoarthritis, hip' ;; source_col=EFO 4 raw=MONDO:0006629"
"Osteoarthritis knee","MONDO:0005178","lexical","search='Osteoarthritis knee' label='osteoarthritis'"
"Osteoarthritis knee","MONDO:0005416","legacy_first_part|lexical","search='Osteoarthritis knee' label='osteoarthritis, knee' ;; source_col=EFO 2 raw=MONDO:0005416"
"Osteoarthritis other","MONDO:0005178","lexical","search='Osteoarthritis other' label='osteoarthritis'"
"Osteoarthritis other","MONDO:0006630","legacy_first_part","source_col=EFO 1 raw=MONDO:0006630"
"Other benign and in situ neoplasms","MONDO:0004647","legacy_second_part","source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0004647"
"Other benign and in situ neoplasms","MONDO:0005070","lexical","search='Other benign and in situ neoplasms' label='neoplasm'"
"Other benign and in situ neoplasms","MONDO:0005165","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0005165"
"Other cardiomyopathy","MONDO:0004994","legacy_second_part|lexical","search='Other cardiomyopathy' label='cardiomyopathy' ;; source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0004994"
"Other cardiomyopathy","MONDO:0005336","lexical","search='Other cardiomyopathy' label='myopathy'"
"Other cardiovascular and circulatory diseases","MONDO:0000001","lexical","search='Other cardiovascular and circulatory diseases' label='disease'"
"Other chromosomal abnormalities","MONDO:0019040","legacy_second_part","source_col=MAPPED_TRAIT_URI...4 raw=MONDO:0019040"
"Other chromosomal abnormalities","PATO:0000461","lexical","search='Other chromosomal abnormalities' label='normal'"
"Other chronic respiratory diseases","EFO:0022941","legacy_second_part","source_col=MAPPED_TRAIT_URI...3 raw=EFO:0022941"
"Other chronic respiratory diseases","HP:0002086","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=HP:0002086"
"Other chronic respiratory diseases","MONDO:0000001","lexical","search='Other chronic respiratory diseases' label='disease'"
"Other congenital birth defects","MONDO:0002320","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0002320"
"Other congenital birth defects","MONDO:0005715","legacy_second_part","source_col=MAPPED_TRAIT_URI...5 raw=MONDO:0005715"
"Other congenital birth defects","MONDO:0018360","legacy_second_part","source_col=MAPPED_TRAIT_URI...7 raw=MONDO:0018360"
"Other congenital birth defects","MONDO:0019636","legacy_second_part","source_col=MAPPED_TRAIT_URI...6 raw=MONDO:0019636"
"Other congenital birth defects","MONDO:0019719","legacy_second_part","source_col=MAPPED_TRAIT_URI...4 raw=MONDO:0019719"
"Other digestive diseases","MONDO:0000001","lexical","search='Other digestive diseases' label='disease'"
"Other drug use disorders","EFO:0011049","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=EFO:0011049"
"Other eye cancers","MONDO:0002236","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0002236"
"Other eye cancers","MONDO:0004992","lexical","search='Other eye cancers' label='cancer'"
"Other gynecological diseases","MONDO:0000001","lexical","search='Other gynecological diseases' label='disease'"
"Other gynecological diseases","MONDO:0002263","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0002263"
"Other hemoglobinopathies and hemolytic anemias","MONDO:0002280","lexical","search='Other hemoglobinopathies and hemolytic anemias' label='anemia'"
"Other intestinal infectious diseases","MONDO:0000001","lexical","search='Other intestinal infectious diseases' label='disease'"
"Other intestinal infectious diseases","MONDO:0000916","legacy_second_part|lexical","search='Other intestinal infectious diseases' label='intestinal infectious disease' ;; source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0000916"
"Other intestinal infectious diseases","MONDO:0005550","lexical","search='Other intestinal infectious diseases' label='infectious disease'"
"Other leukemia","MONDO:0005059","legacy_second_part|lexical","search='Other leukemia' label='leukemia' ;; source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0005059"
"Other malignant neoplasms","MONDO:0005070","lexical","search='Other malignant neoplasms' label='neoplasm'"
"Other mental disorders","MONDO:0005084","legacy_second_part|lexical","search='Other mental disorders' label='mental disorder' ;; source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0005084"
"Other neglected tropical diseases","MONDO:0000001","lexical","search='Other neglected tropical diseases' label='disease'"
"Other neoplasms","MONDO:0005070","legacy_second_part|lexical","search='Other neoplasms' label='neoplasm' ;; source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0005070"
"Other neurological disorders","MONDO:0005071","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0005071"
"Other non-Hodgkin lymphoma","MONDO:0005062","lexical","search='Other non-Hodgkin lymphoma' label='lymphoma'"
"Other non-Hodgkin lymphoma","MONDO:0018908","lexical","search='Other non-Hodgkin lymphoma' label='non-Hodgkin lymphoma'"
"Other non-Hodgkin lymphoma","MONDO:0044887","legacy_first_part","source_col=EFO 2 raw=MONDO:0044887"
"Other non-rheumatic valve diseases","MONDO:0000001","lexical","search='Other non-rheumatic valve diseases' label='disease'"
"Other oral disorders","MONDO:0006858","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0006858"
"Other pharynx cancer","MONDO:0004992","lexical","search='Other pharynx cancer' label='cancer'"
"Other pharynx cancer","MONDO:0005517","legacy_second_part|lexical","search='Other pharynx cancer' label='pharynx cancer' ;; source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0005517"
"Other pneumoconiosis","MONDO:0015926","legacy_second_part|lexical","search='Other pneumoconiosis' label='pneumoconiosis' ;; source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0015926"
"Other sense organ diseases","MONDO:0000001","lexical","search='Other sense organ diseases' label='disease'"
"Other sense organ diseases","MONDO:0005715","legacy_first_part","source_col=EFO 3 raw=MONDO:0005715"
"Other sexually transmitted infections","EFO:0000544","lexical","search='Other sexually transmitted infections' label='infection'"
"Other sexually transmitted infections","MONDO:0021681","legacy_second_part","source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0021681"
"Other skin and subcutaneous diseases","MONDO:0000001","lexical","search='Other skin and subcutaneous diseases' label='disease'"
"Other unspecified infectious diseases","MONDO:0000001","lexical","search='Other unspecified infectious diseases' label='disease'"
"Other unspecified infectious diseases","MONDO:0005550","legacy_second_part|lexical","search='Other unspecified infectious diseases' label='infectious disease' ;; source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0005550"
"Other urinary diseases","MONDO:0000001","lexical","search='Other urinary diseases' label='disease'"
"Other urinary diseases","MONDO:0002118","legacy_second_part","source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0002118"
"Other vision loss","HP:0000572","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=HP:0000572"
"Otitis media","MONDO:0005441","legacy_first_part|lexical","search='Otitis media' label='otitis media' ;; source_col=EFO 2 raw=MONDO:0005441"
"Otitis media","MONDO:0005892","lexical","search='Otitis media' label='otitis media with effusion'"
"Otitis media","MONDO:0005975","lexical","search='Otitis media' label='suppurative otitis media'"
"Otitis media","MONDO:0021204","lexical","search='Otitis media' label='chronic otitis media'"
"Ovarian cancer","EFO:0920034","lexical","search='Ovarian cancer' label='age at high-grade serous ovarian cancer diagnosis'"
"Ovarian cancer","MONDO:0004992","lexical","search='Ovarian cancer' label='cancer'"
"Ovarian cancer","MONDO:0008170","legacy_first_part|lexical","search='Ovarian cancer' label='ovarian cancer' ;; source_col=EFO 2 raw=MONDO:0008170"
"Pancreatic cancer","MONDO:0004992","lexical","search='Pancreatic cancer' label='cancer'"
"Pancreatitis","EFO:0021524","lexical","search='Pancreatitis' label='non-alcoholic pancreatitis'"
"Pancreatitis","EFO:1001507","lexical","search='Pancreatitis' label='asparaginase-induced acute pancreatitis'"
"Pancreatitis","MONDO:0003232","lexical","search='Pancreatitis' label='alcoholic pancreatitis'"
"Pancreatitis","MONDO:0004982","legacy_first_part|lexical","search='Pancreatitis' label='pancreatitis' ;; source_col=EFO 2 raw=MONDO:0004982"
"Pancreatitis","MONDO:0005003","lexical","search='Pancreatitis' label='chronic pancreatitis'"
"Pancreatitis","MONDO:0005589","lexical","search='Pancreatitis' label='thiopurine immunosuppressant-induced pancreatitis'"
"Pancreatitis","MONDO:0006515","lexical","search='Pancreatitis' label='acute pancreatitis'"
"Pancreatitis","MONDO:0017227","lexical","search='Pancreatitis' label='autoimmune pancreatitis type 1'"
"Paralytic ileus and intestinal obstruction","HP:0002590","lexical","search='Paralytic ileus and intestinal obstruction' label='Paralytic ileus'"
"Paralytic ileus and intestinal obstruction","MONDO:0004565","lexical","search='Paralytic ileus and intestinal obstruction' label='intestinal obstruction'"
"Paralytic ileus and intestinal obstruction","MONDO:0004567","lexical","search='Paralytic ileus and intestinal obstruction' label='ileus'"
"Paratyphoid fever","HP:0001945","lexical","search='Paratyphoid fever' label='Fever'"
"Paratyphoid fever","MONDO:0005619","lexical","search='Paratyphoid fever' label='typhoid fever'"
"Parkinson's disease","EFO:0600011","lexical","search='Parkinson's disease' label='Parkinson's disease symptom measurement'"
"Parkinson's disease","MONDO:0000001","lexical","search='Parkinson's disease' label='disease'"
"Parkinson's disease","MONDO:0005180","legacy_first_part","source_col=EFO 1 raw=MONDO:0005180"
"Peptic ulcer disease","HP:0004398","lexical","search='Peptic ulcer disease' label='Peptic ulcer'"
"Peptic ulcer disease","MONDO:0000001","lexical","search='Peptic ulcer disease' label='disease'"
"Peptic ulcer disease","MONDO:0004247","legacy_first_part|lexical","search='Peptic ulcer disease' label='peptic ulcer disease' ;; source_col=EFO 1 raw=MONDO:0004247"
"Periodontal diseases","MONDO:0000001","lexical","search='Periodontal diseases' label='disease'"
"Pertussis","MONDO:0005077","legacy_first_part|lexical","search='Pertussis' label='pertussis' ;; source_col=EFO 1 raw=MONDO:0005077"
"Pneumoconiosis","MONDO:0015926","legacy_first_part|lexical","search='Pneumoconiosis' label='pneumoconiosis' ;; source_col=EFO 1 raw=MONDO:0015926"
"Polycystic ovarian syndrome","MONDO:0008487","legacy_first_part","source_col=EFO 4 raw=MONDO:0008487"
"Prostate cancer","EFO:0600083","lexical","search='Prostate cancer' label='family history of prostate cancer'"
"Prostate cancer","MONDO:0004992","lexical","search='Prostate cancer' label='cancer'"
"Prostate cancer","MONDO:0008315","lexical","search='Prostate cancer' label='prostate cancer'"
"Protein-energy malnutrition","EFO:0008572","lexical","search='Protein-energy malnutrition' label='malnutrition'"
"Protein-energy malnutrition","MONDO:0001371","legacy_first_part|lexical","search='Protein-energy malnutrition' label='protein-energy malnutrition' ;; source_col=EFO 4 raw=MONDO:0001371"
"Pruritus","HP:0000989","legacy_first_part|lexical","search='Pruritus' label='Pruritus' ;; source_col=EFO 1 raw=HP:0000989 ;; source_col=EFO 4 raw=HP:0000989"
"Psoriasis","EFO:0007773","lexical","search='Psoriasis' label='cutaneous psoriasis measurement'"
"Psoriasis","EFO:0022382","lexical","search='Psoriasis' label='psoriasis area and severity index'"
"Psoriasis","EFO:1001494","lexical","search='Psoriasis' label='psoriasis vulgaris'"
"Psoriasis","MONDO:0005083","legacy_first_part|lexical","search='Psoriasis' label='psoriasis' ;; source_col=EFO 4 raw=MONDO:0005083"
"Psoriasis","MONDO:0006592","lexical","search='Psoriasis' label='parapsoriasis'"
"Psoriasis","MONDO:0013626","lexical","search='Psoriasis' label='psoriasis 14, pustular'"
"Pulmonary Arterial Hypertension","MONDO:0001999","lexical","search='Pulmonary Arterial Hypertension' label='idiopathic pulmonary arterial hypertension'"
"Pulmonary Arterial Hypertension","MONDO:0015924","lexical","search='Pulmonary Arterial Hypertension' label='pulmonary arterial hypertension'"
"Pyoderma","EFO:0006835","lexical","search='Pyoderma' label='pyoderma gangrenosum'"
"Pyoderma","HP:0000999","legacy_first_part|lexical","search='Pyoderma' label='Pyoderma' ;; source_col=EFO 2 raw=HP:0000999"
"Refraction disorders","EFO:0007814","legacy_second_part","source_col=MAPPED_TRAIT_URI...3 raw=EFO:0007814"
"Refraction disorders","MONDO:0004892","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0004892"
"Retinoblastoma","EFO:0020706","lexical","search='Retinoblastoma' label='retinoblastoma-associated protein measurement'"
"Retinoblastoma","EFO:0803012","lexical","search='Retinoblastoma' label='retinoblastoma-binding protein 5 measurement'"
"Retinoblastoma","EFO:0803013","lexical","search='Retinoblastoma' label='retinoblastoma-like protein 1 measurement'"
"Retinoblastoma","OBA:2040197","lexical","search='Retinoblastoma' label='level of retinoblastoma-like protein 1 in blood serum'"
"Retinoblastoma","OBA:2040198","lexical","search='Retinoblastoma' label='level of retinoblastoma-like protein 2 in blood serum'"
"Retinoblastoma","OBA:2043202","lexical","search='Retinoblastoma' label='level of retinoblastoma-binding protein 5 in blood serum'"
"Rheumatic heart disease","MONDO:0000001","lexical","search='Rheumatic heart disease' label='disease'"
"Rheumatic heart disease","MONDO:0006955","legacy_first_part|lexical","search='Rheumatic heart disease' label='rheumatic heart disease' ;; source_col=EFO 2 raw=MONDO:0006955"
"Rheumatoid arthritis","EFO:0009459","lexical","search='Rheumatoid arthritis' label='ACPA-positive rheumatoid arthritis'"
"Rheumatoid arthritis","EFO:0009460","lexical","search='Rheumatoid arthritis' label='ACPA-negative rheumatoid arthritis'"
"Rheumatoid arthritis","MONDO:0008383","legacy_first_part|lexical","search='Rheumatoid arthritis' label='rheumatoid arthritis' ;; source_col=EFO 3 raw=MONDO:0008383"
"Schizophrenia","EFO:0007927","lexical","search='Schizophrenia' label='schizophrenia symptom severity measurement'"
"Schizophrenia","MONDO:0005090","legacy_first_part|lexical","search='Schizophrenia' label='schizophrenia' ;; source_col=EFO 4 raw=MONDO:0005090"
"Schizophrenia","MONDO:0005414","lexical","search='Schizophrenia' label='treatment-refractory schizophrenia'"
"Schizophrenia","OBA:2001011","lexical","search='Schizophrenia' label='age of onset of schizophrenia'"
"Seborrhoeic dermatitis","MONDO:0002406","lexical","search='Seborrhoeic dermatitis' label='dermatitis'"
"Seborrhoeic dermatitis","MONDO:0006608","legacy_first_part","source_col=EFO 2 raw=MONDO:0006608"
"Sexually transmitted infections excluding HIV","EFO:0000544","lexical","search='Sexually transmitted infections excluding HIV' label='infection'"
"Soft tissue and other extraosseous sarcomas","HP:0001259","lexical","search='Soft tissue and other extraosseous sarcomas' label='Coma'"
"Soft tissue and other extraosseous sarcomas","MONDO:0005089","legacy_first_part|lexical","search='Soft tissue and other extraosseous sarcomas' label='sarcoma' ;; source_col=EFO 3 raw=MONDO:0005089"
"Soft tissue and other extraosseous sarcomas","MONDO:0006424","legacy_first_part","source_col=EFO 4 raw=MONDO:0006424"
"Stomach cancer","MONDO:0004992","lexical","search='Stomach cancer' label='cancer'"
"Stroke","EFO:0009603","lexical","search='Stroke' label='stroke outcome severity measurement'"
"Stroke","EFO:0009956","lexical","search='Stroke' label='post-operative stroke'"
"Stroke","EFO:0010555","lexical","search='Stroke' label='left ventricular stroke volume measurement'"
"Stroke","EFO:0020921","lexical","search='Stroke' label='hemorrhagic stroke'"
"Stroke","EFO:0021817","lexical","search='Stroke' label='right ventricular stroke volume measurement'"
"Stroke","EFO:1001504","lexical","search='Stroke' label='small vessel stroke'"
"Stroke","EFO:1001976","lexical","search='Stroke' label='cardioembolic stroke'"
"Stroke","HP:0002140","lexical","search='Stroke' label='Ischemic stroke'"
"Stroke","MONDO:0005098","lexical","search='Stroke' label='stroke disorder'"
"Stroke","MONDO:0005490","lexical","search='Stroke' label='large artery stroke'"
"Stroke","OBA:2040155","lexical","search='Stroke' label='age of onset of stroke disorder'"
"Subarachnoid hemorrhage","MONDO:0005099","legacy_first_part|lexical","search='Subarachnoid hemorrhage' label='subarachnoid hemorrhage' ;; source_col=EFO 3 raw=MONDO:0005099"
"Subarachnoid hemorrhage","MP:0001914","lexical","search='Subarachnoid hemorrhage' label='hemorrhage'"
"Tension-type headache","HP:0002315","lexical","search='Tension-type headache' label='Headache'"
"Tension-type headache","HP:0012228","legacy_first_part|lexical","search='Tension-type headache' label='Tension-type headache' ;; source_col=EFO 1 raw=HP:0012228"
"Testicular cancer","MONDO:0004992","lexical","search='Testicular cancer' label='cancer'"
"Testicular cancer","MONDO:0005447","legacy_first_part|lexical","search='Testicular cancer' label='testicular cancer' ;; source_col=EFO 1 raw=MONDO:0005447"
"Tetanus","EFO:0010085","lexical","search='Tetanus' label='anti-tetanus toxoid IgG measurement'"
"Thalassemias","MONDO:0000984","legacy_first_part|lexical","search='Thalassemias' label='thalassemia' ;; source_col=EFO 2 raw=MONDO:0000984"
"Thalassemias trait","MONDO:0000984","lexical","search='Thalassemias trait' label='thalassemia'"
"Thyroid cancer","MONDO:0002108","legacy_first_part|lexical","search='Thyroid cancer' label='thyroid cancer' ;; source_col=EFO 1 raw=MONDO:0002108"
"Thyroid cancer","MONDO:0004992","lexical","search='Thyroid cancer' label='cancer'"
"Thyroid diseases","MONDO:0000001","lexical","search='Thyroid diseases' label='disease'"
"Tracheal, bronchus, and lung cancer","MONDO:0004992","lexical","search='Tracheal, bronchus, and lung cancer' label='cancer'"
"Tracheal, bronchus, and lung cancer","MONDO:0008903","lexical","search='Tracheal, bronchus, and lung cancer' label='lung cancer'"
"Trachoma","EFO:0009330","lexical","search='Trachoma' label='Chlamydia trachomatis seropositivity'"
"Trachoma","EFO:0010903","lexical","search='Trachoma' label='anti-chlamydia trachomatis antibody measurement'"
"Tuberculosis","EFO:0007918","lexical","search='Tuberculosis' label='response to anti-tuberculosis drug'"
"Tuberculosis","EFO:0008407","lexical","search='Tuberculosis' label='susceptibility to Mycobacterium tuberculosis infection measurement'"
"Tuberculosis","EFO:0803635","lexical","search='Tuberculosis' label='mycobacterium tuberculosis seropositivity'"
"Tuberculosis","MONDO:0000368","lexical","search='Tuberculosis' label='extrapulmonary tuberculosis'"
"Tuberculosis","MONDO:0006042","lexical","search='Tuberculosis' label='meningeal tuberculosis'"
"Tuberculosis","MONDO:0006052","lexical","search='Tuberculosis' label='pulmonary tuberculosis'"
"Tuberculosis","MONDO:0018076","legacy_first_part|lexical","search='Tuberculosis' label='tuberculosis' ;; source_col=EFO 1 raw=MONDO:0018076"
"Typhoid and paratyphoid","MONDO:0005619","legacy_first_part","source_col=EFO 4 raw=MONDO:0005619"
"Typhoid fever","HP:0001945","lexical","search='Typhoid fever' label='Fever'"
"Typhoid fever","MONDO:0005619","lexical","search='Typhoid fever' label='typhoid fever'"
"Ulcerative colitis","MONDO:0005101","lexical","search='Ulcerative colitis' label='ulcerative colitis'"
"Ulcerative colitis","MONDO:0005292","lexical","search='Ulcerative colitis' label='colitis'"
"Upper digestive system diseases","MONDO:0000001","lexical","search='Upper digestive system diseases' label='disease'"
"Upper respiratory infections","EFO:0000544","lexical","search='Upper respiratory infections' label='infection'"
"Urinary diseases and male infertility","MONDO:0000001","lexical","search='Urinary diseases and male infertility' label='disease'"
"Urinary diseases and male infertility","MONDO:0002118","legacy_second_part","source_col=MAPPED_TRAIT_URI...6 raw=MONDO:0002118"
"Urinary diseases and male infertility","MONDO:0005372","legacy_second_part|lexical","search='Urinary diseases and male infertility' label='male infertility' ;; source_col=MAPPED_TRAIT_URI...3 raw=MONDO:0005372"
"Urinary tract infections and interstitial nephritis","EFO:0000544","lexical","search='Urinary tract infections and interstitial nephritis' label='infection'"
"Urinary tract infections and interstitial nephritis","MONDO:0001085","legacy_second_part|lexical","search='Urinary tract infections and interstitial nephritis' label='interstitial nephritis' ;; source_col=MAPPED_TRAIT_URI...4 raw=MONDO:0001085"
"Urinary tract infections and interstitial nephritis","MONDO:0001166","lexical","search='Urinary tract infections and interstitial nephritis' label='nephritis'"
"Urinary tract infections and interstitial nephritis","MONDO:0100338","lexical","search='Urinary tract infections and interstitial nephritis' label='urinary tract infection'"
"Urogenital congenital anomalies","MONDO:0019640","legacy_first_part","source_col=EFO 3 raw=MONDO:0019640"
"Urolithiasis","MONDO:0024647","legacy_first_part|lexical","search='Urolithiasis' label='urolithiasis' ;; source_col=EFO 4 raw=MONDO:0024647"
"Urticaria","MONDO:0005492","legacy_first_part|lexical","search='Urticaria' label='urticaria' ;; source_col=EFO 3 raw=MONDO:0005492"
"Uterine cancer","MONDO:0002715","lexical","search='Uterine cancer' label='uterine cancer'"
"Uterine cancer","MONDO:0004992","lexical","search='Uterine cancer' label='cancer'"
"Uterine fibroids","EFO:0021423","lexical","search='Uterine fibroids' label='family history of uterine fibroids'"
"Varicella and herpes zoster","MONDO:0005609","legacy_first_part|lexical","search='Varicella and herpes zoster' label='herpes zoster' ;; source_col=EFO 2 raw=MONDO:0005609"
"Vascular intestinal disorders","MONDO:0005020","lexical","search='Vascular intestinal disorders' label='intestinal disorder'"
"Viral skin diseases","MONDO:0000001","lexical","search='Viral skin diseases' label='disease'"
"Viral skin diseases","MONDO:0021201","legacy_second_part","source_col=MAPPED_TRAIT_URI...2 raw=MONDO:0021201"
"Visceral leishmaniasis","MONDO:0005445","lexical","search='Visceral leishmaniasis' label='visceral leishmaniasis'"
"Yellow fever","HP:0001945","lexical","search='Yellow fever' label='Fever'"
"Zika virus","MONDO:0000890","lexical","search='Zika virus' label='Zika virus congenital syndrome'"
